sample_id,species,wn_1000,wn_1020,wn_1050,wn_1100,wn_1160,wn_1200,wn_1300,wn_1400,wn_1450,wn_1550,wn_1650,wn_1700,wn_1750,wn_2800,wn_2850,wn_2900,wn_2950,wn_3000,wn_3200,wn_3300,wn_3400,wn_3500,activity_MeOH_70,DPPH_MeOH_70,ABTS_MeOH_70,FRAP_MeOH_70,TPC_MeOH_70,activity_EtOH_70,DPPH_EtOH_70,ABTS_EtOH_70,FRAP_EtOH_70,TPC_EtOH_70,activity_EtOAc,DPPH_EtOAc,ABTS_EtOAc,FRAP_EtOAc,TPC_EtOAc,activity_Acetone_100,DPPH_Acetone_100,ABTS_Acetone_100,FRAP_Acetone_100,TPC_Acetone_100,activity_MeCN_50,DPPH_MeCN_50,ABTS_MeCN_50,FRAP_MeCN_50,TPC_MeCN_50
FTIR_S001,Spirulina platensis,79.32687788799932,86.96153291086513,86.45562087991307,75.86708940668812,85.91662092523408,53.168382128749144,55.62664454875375,49.41667830826018,64.63826487531897,68.25957164472092,60.70994102779517,85.15656616186122,72.07071226011301,66.48142759752307,79.0756703775517,58.71304213192244,82.01622715194169,56.111313058818844,84.2359872558412,82.53359578061675,58.122721397843236,49.62286998401236,68.23518632481435,1.5293249692412747,27.627345151702677,58.82068026622195,2.476729022471613,85.70221404469524,64.72040670411664,31.623404177028156,36.04666627591557,28.982294987289915,50.4629593412616,60.25861732034634,39.874526373070594,68.97095364586512,2.3645678428771633,19.577982437779283,92.14832254720905,6.415150106890133,70.45760537236447,44.57517930227096,52.15915336531598,93.36156647829706,3.745872772602421,39.267644890649144,11.954703363615549
FTIR_S002,Nannochloropsis gaditana,69.83224293258932,75.78249788630896,55.827282654978625,71.67780772551285,75.4838748810405,57.815776074358496,85.90016837150948,72.31991034929578,76.82515196408559,84.0790568638135,70.7909625859772,64.35282849504134,54.18880371318726,68.20662992814609,60.37336451310647,64.55118897588098,83.81455611571823,63.88863213764924,54.754762086424996,64.94171819316846,86.11296299112519,60.402529712096985,5.382101880222267,34.91736851311015,55.36445948514624,0.018637977726865262,96.05352046705006,91.59716235725128,94.21715784313565,18.810486153976324,19.914977690831726,17.257776341465338,58.569449205774625,7.99224607880239,89.78690811518007,45.303626434167164,17.01815807573157,48.31233212676758,34.36325616032568,1.2577477846817953,69.36204293733104,6.094112584036804,51.52158325222796,81.97940274194264,45.31836736960545,49.47099843139807,60.54281934746128
FTIR_S003,Chlorella vulgaris,57.7436271582113,58.895663693684,68.01160382643006,88.78189513201266,61.309245295199354,74.42369326336723,80.91970448235696,62.11978726826084,75.91368747535192,65.08059302583473,75.81199881224003,76.90483417399041,68.95708594123417,50.97067757600778,84.45598295480332,70.69012969731517,69.41345402078042,59.06756637123443,72.2756682843727,77.56708186801332,51.24965810371161,69.0550194959185,22.03598727726114,65.93100188869683,53.81429651211307,19.709941751743166,95.1182092874845,8.65700470749131,55.710899720412186,55.714330957324634,27.366327282051106,25.851236988017945,54.46135178054961,27.558148350670496,21.753101237529172,27.495860301420805,4.111335233789193,3.897234575553332,70.91458145824015,74.94594418160753,65.74440308956976,87.87971482216412,55.99632034454722,15.434132884118146,36.27138513434196,2.1654115138182717,50.04843213930332
FTIR_S004,Spirulina platensis,57.68365675222996,70.23503646183087,75.53402291158551,77.04339521059039,58.523846807770695,79.91516984208562,60.436438749019096,62.870330101056965,78.16606876858415,72.95562151251686,83.07590651563308,78.01731328066069,78.67371708720523,57.14003257883152,70.51758244317402,61.37872946672669,57.991870862761076,89.22787240198888,65.8403264235624,83.39592161142329,75.96111976058708,82.91402119440241,18.43718106986697,26.52161321933526,43.17337854400448,77.95981633842086,25.444114774241513,42.90826988255637,32.26577905194539,81.75420807226095,8.360718588474281,11.17391293889165,50.470931704451715,73.63582313194922,71.71906639404004,53.18879409837933,28.54554718553085,53.89399437334392,27.59708249592564,76.20140127175787,71.7028636095438,77.34463576707232,20.120151751822725,36.06608511680093,54.84515044965471,54.701757395529086,31.665098109411016
FTIR_S005,Chlorella vulgaris,51.48177768461833,79.20849161007276,71.03022819303638,63.41405175476315,66.69594683553697,61.28566665921388,73.67774481046355,54.13981241085296,53.53493408985598,73.63730373503523,57.556569190159436,51.865202108490855,69.05731667707447,51.16285804355577,83.99930155541871,63.33745206771354,86.48720723878263,73.45446849053691,76.14414543363458,63.44051040918343,55.9707178492623,90.93705268637295,17.590590108503037,65.20188384409447,35.327854669547065,34.21904971367689,69.9273568296089,29.453693179370045,4.048443206055885,85.83122742484093,65.16745159812825,20.550116998564803,36.77038614334914,31.67606230075983,84.28954004172073,40.71422839253136,64.30583593898402,90.93721696472039,35.26175973031451,23.41516820550744,21.346541780120955,29.183815650529056,56.50221554414476,41.91928168083581,3.8632703073997465,52.38789069723126,12.026677586370049
FTIR_S006,Prorocentrum lima,74.59391376488719,73.80750938552237,64.28349118155589,90.84113884083024,79.25905237475132,71.24283255794694,74.58584765398778,71.47999635401224,60.71919059758735,66.0583834959701,79.90892936691166,50.697532759424554,55.937231013850734,52.09229533651817,47.83439812778149,86.77950488379521,76.91604701965828,73.18958844672551,55.287063451571996,69.80657983595279,69.8175251114295,56.71107901927358,81.20945066557736,92.7480196623524,54.17430778690593,84.30609600748808,4.643135938411902,78.78490726932408,64.48607113030066,5.015931146145625,24.005839037515663,62.12249973870808,70.66768883762607,38.86390569710567,50.920917489902195,3.965661008302268,55.86115042881582,21.661860859577086,1.7790511727146852,32.98067157721767,75.50518928307828,43.78803811782138,83.20195138829554,19.22322937120543,18.30660880450592,25.16491599214451,19.941209727449984
FTIR_S007,Dunaliella tertiolecta,61.48901501385482,62.0143659468983,57.84803922302891,63.994916363200375,53.645876583146844,75.1881124498928,60.39403835815121,76.9550446219043,67.70460790957196,78.98027607648852,62.3712670394933,57.74376652132941,69.18955188977327,84.22358459985279,60.843466280933896,85.78045588125445,52.351536846491044,66.46879077343579,88.30281226934777,75.96831732592551,65.23231780824878,72.71225025458814,92.33449980270564,46.61387585844342,38.20579418598419,60.267252289703535,34.95714606305222,34.58478973685579,42.05186232203668,79.26098027528583,39.95617496830519,95.73385122169734,8.14875765281915,31.43007123777155,27.785083477605898,95.23393969357798,2.0281493262944372,45.0217815552238,53.31768689431351,21.37937187450155,43.75944447765539,32.949848775790905,67.17146711923606,67.37596420596654,33.80740616327912,47.239440051857706,7.187299919342771
FTIR_S008,Tetraselmis subcordiformis,60.78635425668594,63.610681689511914,74.00456956008689,77.2800536287541,80.22627330652908,81.15783140835846,54.27005925314362,72.72752462200236,54.01766964706981,71.66127823302257,67.62318763912971,83.50310858105638,63.99957423009837,54.105363379263956,56.36510440278961,78.80596338159424,75.76741556113278,57.11038487091677,53.146751947686184,78.8421887025627,54.29080823798997,82.07196142784258,27.657439779710625,20.710956066553297,77.90989892058833,98.66549369453799,67.62662167990189,48.51055980451168,95.53701155931658,27.525715782644987,29.43061505374277,54.58065681427225,45.84175799473138,70.51664139386948,77.03851011944394,98.08924672156478,60.09504030709589,33.10732518702418,26.23297954316046,16.073710869259592,71.33415865557747,19.844674650235273,2.000752320868071,96.07939825571353,41.567885530211036,56.32132212795108,90.9488464461797
FTIR_S009,Prorocentrum lima,66.83707735771266,80.6095110281158,90.04147537745307,70.15850123914359,60.20255442128335,50.61919059306139,85.38926277288077,84.08893896352963,59.47286112156324,74.49621008315324,56.47287713845929,53.66341454753873,57.37976526485815,60.972647959883375,93.20262493038607,74.41637161370423,65.65217343900393,81.55834516361003,85.99068745979905,86.00846223197183,52.09858598160218,68.83507446411015,81.97545615930021,92.27142446397777,15.341221008930184,76.38542324884257,22.76766959250206,70.6576725169341,58.52037896279373,10.611689339005414,25.913163249102368,92.53408879687638,54.49960003584815,99.62093350998934,89.88763787300016,16.170260958012616,2.204973798514198,83.81362939143298,9.335761658554375,30.97232271760635,99.27001142398366,15.552812649679492,82.49507347067913,11.283003892779043,9.792463254989926,85.77830973272755,32.07427390031767
FTIR_S010,Chlorella vulgaris,65.06628686422944,79.13106732191405,68.27050445646161,82.9834367069609,74.63740380726026,51.4018209225025,52.300300305343804,58.03826176063716,45.32930257371114,51.704191846450335,78.85606023843891,73.79948114854389,80.40265707469189,86.62577554890453,76.62713821946548,88.66509703413213,92.32829088239475,77.91683525299526,60.3637312974563,61.639011888288366,61.78983861255753,60.782119681233105,88.98926931111859,94.58566109425985,72.04617867892014,9.30444277518191,33.9148913948481,63.521927126547574,63.40375526595301,29.684019266199478,92.10811464124934,36.56862678675652,84.01033245495677,81.33635573517978,2.2632973223527975,91.6305525341219,15.900384116198229,69.62741655271255,2.7607037098763,7.472718395342504,89.58004406832974,18.38286937690896,53.262832867327724,89.78248413368799,88.99864645555618,64.27766585667037,37.02154159881024
