Id,SalePrice
1461,114468.67726553357
1462,149117.9418459228
1463,173164.5335617147
1464,182575.9615642699
1465,201147.6212790697
1466,174974.77219217803
1467,180790.40577927584
1468,168832.47192468133
1469,190836.3337398775
1470,120446.67251160642
1471,179260.29040712907
1472,95714.20694386735
1473,96317.45489774834
1474,154587.43394353922
1475,129187.83222764975
1476,387781.6706368647
1477,259829.91776179557
1478,306816.80500971945
1479,288455.44541539275
1480,473346.67258438433
1481,350088.63424690324
1482,212893.44253260366
1483,172869.3055559982
1484,169628.25202042394
1485,180856.2131062651
1486,200293.28276218593
1487,329387.6989193738
1488,238122.51140050736
1489,201905.9377887237
1490,212211.32969261677
1491,185759.05805092823
1492,100531.9611795294
1493,184827.14276139165
1494,301166.7782101882
1495,297534.5524369215
1496,225958.44020750746
1497,195971.3034356783
1498,159939.63881935854
1499,164439.70138548972
1500,159675.01251968814
1501,179336.75676423014
1502,159149.4388869648
1503,273706.03274587996
1504,241985.8040959919
1505,225183.6973630581
1506,191062.53734322294
1507,229478.4106151827
1508,198119.88025460322
1509,163813.0995142398
1510,148185.75751617868
1511,145770.55510372564
1512,171009.63427134647
1513,145620.62727101156
1514,158769.7620924469
1515,187544.43572395673
1516,147462.6159322813
1517,161561.3353556011
1518,139248.75164980022
1519,194391.28112790195
1520,133934.20686656027
1521,131267.47733862163
1522,174928.70980863034
1523,117688.38940074966
1524,125727.85637354682
1525,119317.64379838017
1526,121974.90593177202
1527,112478.57106467131
1528,135248.727369154
1529,144972.44991676544
1530,177413.24116830144
1531,134529.57824753926
1532,102721.54776566972
1533,147336.3406964321
1534,117665.69048079682
1535,139296.91701983445
1536,109506.38627537445
1537,69909.18800980254
1538,148971.38727358074
1539,190883.718286041
1540,95250.53498036196
1541,144059.535737138
1542,134301.2157355905
1543,190372.3262173297
1544,84104.57630832569
1545,118392.90698984411
1546,137370.67306358187
1547,132848.19530064196
1548,138753.49846399212
1549,106077.22154214903
1550,138417.81035611653
1551,114078.21996750004
1552,140583.65312239103
1553,134183.41913249454
1554,121557.72986836945
1555,173523.0953396068
1556,99264.2540655158
1557,110051.35414243018
1558,98990.15401994126
1559,82175.26056712527
1560,142236.6827668515
1561,137599.62143580828
1562,128843.94660449622
1563,117856.18953064294
1564,154138.90600611852
1565,149086.22532813923
1566,242073.33232173516
1567,74218.00295893103
1568,223921.78274862393
1569,129585.42420051474
1570,138425.61836208883
1571,121069.59554740522
1572,135657.63166739373
1573,221171.74616900596
1574,112415.17670093801
1575,214038.33039497063
1576,225301.8943367583
1577,187325.8474976506
1578,156781.39037407583
1579,139869.81904244158
1580,191786.29884859634
1581,150936.9989960427
1582,132062.842604481
1583,304049.54407810484
1584,224662.70606684464
1585,142306.57847884868
1586,61977.03170514021
1587,105775.97659777262
1588,144151.91297561282
1589,104402.96800773503
1590,132498.6961824253
1591,98363.20974270313
1592,120663.19791003963
1593,128410.42661237784
1594,131245.19400850154
1595,108632.67847818258
1596,248678.03188139122
1597,179390.9219630125
1598,202155.52936199738
1599,175841.42184618965
1600,163537.04690535343
1601,56334.30955244062
1602,106160.77478901751
1603,83602.05854036195
1604,265751.6719840318
1605,221980.56783019737
1606,168777.3301943309
1607,177706.2287090462
1608,220698.12790633316
1609,194078.85250945296
1610,156435.0803177508
1611,145128.1996333534
1612,168828.36456161126
1613,161347.94131151555
1614,127127.12275846879
1615,88711.61510526318
1616,78531.92961828168
1617,94945.15085372631
1618,119786.27168097909
1619,133409.982575086
1620,161700.69609522028
1621,132064.8396615453
1622,142007.9372989896
1623,264751.2209723474
1624,193747.08568484383
1625,113898.76277155735
1626,165016.5261016419
1627,180004.57877520222
1628,266285.79861585656
1629,175069.29203830427
1630,324285.7102720758
1631,215992.05909637606
1632,253778.1031309233
1633,166730.40839864116
1634,188467.21692390123
1635,178485.72853154677
1636,162988.68147146658
1637,196117.15290070878
1638,215114.94478609238
1639,182393.71563509147
1640,261647.35339448787
1641,176605.9744213049
1642,239453.35792263807
1643,238312.58800334486
1644,231366.8921641819
1645,192193.22209406138
1646,164735.15691517503
1647,158078.88072955157
